Media Sources,Tweets Ago,compound,neg,pos,neu
CBSNews,7,-0.4019,0.13,0.0,0.87
CBSNews,8,0.6597,0.0,0.252,0.748
CBSNews,9,0.3612,0.0,0.116,0.884
CBSNews,10,0.3818,0.0,0.11,0.89
CBSNews,11,-0.34,0.118,0.0,0.882
CBSNews,12,0.3182,0.0,0.108,0.892
CBSNews,13,-0.1531,0.086,0.0,0.914
CBSNews,14,0.0,0.0,0.0,1.0
CBSNews,15,0.3182,0.0,0.108,0.892
CBSNews,16,0.0,0.0,0.0,1.0
CBSNews,17,-0.4939,0.151,0.0,0.849
CBSNews,18,0.0,0.0,0.0,1.0
CBSNews,19,-0.4019,0.144,0.0,0.856
CBSNews,20,0.34,0.0,0.091,0.909
CBSNews,21,0.0,0.0,0.0,1.0
CBSNews,22,0.0,0.0,0.0,1.0
CBSNews,23,0.0,0.0,0.0,1.0
CBSNews,24,0.0,0.0,0.0,1.0
CBSNews,25,0.0,0.0,0.0,1.0
CBSNews,26,-0.4939,0.127,0.0,0.873
CBSNews,27,-0.4019,0.13,0.0,0.87
CBSNews,28,0.6597,0.0,0.252,0.748
CBSNews,29,0.3612,0.0,0.116,0.884
CBSNews,30,0.3818,0.0,0.11,0.89
CBSNews,31,-0.34,0.118,0.0,0.882
CBSNews,32,0.3182,0.0,0.108,0.892
CBSNews,33,-0.1531,0.086,0.0,0.914
CBSNews,34,0.0,0.0,0.0,1.0
CBSNews,35,0.3182,0.0,0.108,0.892
CBSNews,36,0.0,0.0,0.0,1.0
CBSNews,37,-0.4939,0.151,0.0,0.849
CBSNews,38,0.0,0.0,0.0,1.0
CBSNews,39,-0.4019,0.144,0.0,0.856
CBSNews,40,-0.5574,0.213,0.0,0.787
CBSNews,41,0.0,0.0,0.0,1.0
CBSNews,42,-0.765,0.28,0.0,0.72
CBSNews,43,0.0,0.0,0.0,1.0
CBSNews,44,-0.3818,0.184,0.0,0.816
CBSNews,45,0.1774,0.122,0.154,0.724
CBSNews,46,-0.6124,0.238,0.0,0.762
CBSNews,47,-0.296,0.087,0.0,0.913
CBSNews,48,0.5187,0.0,0.179,0.821
CBSNews,49,-0.09,0.117,0.101,0.782
CBSNews,50,-0.4215,0.123,0.0,0.877
CBSNews,51,-0.0258,0.084,0.08,0.837
CBSNews,52,0.0,0.0,0.0,1.0
CBSNews,53,-0.5719,0.224,0.058,0.717
CBSNews,54,0.0,0.0,0.0,1.0
CBSNews,55,0.2023,0.0,0.087,0.913
CBSNews,56,0.4404,0.0,0.112,0.888
CBSNews,57,0.1779,0.11,0.141,0.749
CBSNews,58,-0.5106,0.223,0.0,0.777
CBSNews,59,0.5423,0.0,0.22,0.78
CBSNews,60,0.0,0.0,0.0,1.0
CBSNews,61,-0.34,0.124,0.0,0.876
CBSNews,62,0.0,0.0,0.0,1.0
CBSNews,63,-0.4019,0.13,0.0,0.87
CBSNews,64,0.0,0.0,0.0,1.0
CBSNews,65,0.4019,0.0,0.179,0.821
CBSNews,66,0.6114,0.0,0.16,0.84
CBSNews,67,0.0772,0.0,0.064,0.936
CBSNews,68,0.0,0.0,0.0,1.0
CBSNews,69,0.0,0.0,0.0,1.0
CBSNews,70,-0.3182,0.126,0.0,0.874
CBSNews,71,0.0,0.0,0.0,1.0
CBSNews,72,0.296,0.0,0.115,0.885
CBSNews,73,0.3818,0.0,0.12,0.88
CBSNews,74,0.6808,0.0,0.211,0.789
CBSNews,75,-0.3818,0.148,0.0,0.852
CBSNews,76,0.2023,0.0,0.091,0.909
CBSNews,77,0.0,0.0,0.0,1.0
CBSNews,78,0.8126,0.0,0.32,0.68
CBSNews,79,0.0,0.0,0.0,1.0
CBSNews,80,0.0,0.0,0.0,1.0
CBSNews,81,-0.1531,0.086,0.0,0.914
CBSNews,82,0.0,0.0,0.0,1.0
CBSNews,83,-0.5574,0.159,0.0,0.841
