Media Sources,Tweets Ago,compound,neg,pos,neu
BBCWorld,0,-0.5994,0.358,0.0,0.642
BBCWorld,1,0.0,0.0,0.0,1.0
CBSNews,0,0.0,0.0,0.0,1.0
CBSNews,1,0.0191,0.0,0.056,0.944
CNN,0,-0.5574,0.365,0.0,0.635
CNN,1,-0.4118,0.155,0.0,0.845
FoxNews,0,-0.8074,0.454,0.0,0.546
FoxNews,1,-0.5994,0.362,0.101,0.537
nytimes,0,-0.2263,0.19,0.1,0.711
nytimes,1,0.4215,0.0,0.128,0.872
